month,naics2d_code,naics2d_name,employment_nsa,employment_sa
2023-03,31-33,Manufacturing,12819571,12849641
2023-03,42,Wholesale Trade,6097095,6112269
2023-03,44-45,Retail Trade,15451452,15503829
2023-03,48-49,Transportation and Warehousing,6610187,6621360
2023-03,51,Information,3025599,3028173
2023-03,52-53,Financial Activities,9098088,9110764
2023-03,54-56,Professional and Business Services,22249262,22281734
2023-03,61-62,Education and Health Services,25614324,25530307
2023-03,71-72,Leisure and Hospitality,16504715,16584033
2023-03,81,Other Services (except Public Administration),5814133,5823507
2023-03,92,Public Administration,22891833,22911522
2023-03,99,Unclassified,369145,370413
2023-04,11,"Agriculture, Forestry, Fishing and Hunting",211803,212777
2023-04,21,"Mining, Quarrying, and Oil and Gas Extraction",626257,627557
2023-04,22,Utilities,366648,367434
2023-04,23,Construction,7976866,8009639
2023-04,31-33,Manufacturing,12808597,12847895
2023-04,42,Wholesale Trade,6098090,6115200
2023-04,44-45,Retail Trade,15449345,15508873
2023-04,48-49,Transportation and Warehousing,6606427,6621727
2023-04,51,Information,3011898,3020056
2023-04,52-53,Financial Activities,9090587,9113869
2023-04,54-56,Professional and Business Services,22241034,22305203
2023-04,61-62,Education and Health Services,25640424,25601421
2023-04,71-72,Leisure and Hospitality,16556843,16617590
2023-04,81,Other Services (except Public Administration),5824514,5834436
2023-04,92,Public Administration,22910446,22942123
2023-04,99,Unclassified,369755,370767
2023-05,11,"Agriculture, Forestry, Fishing and Hunting",213620,213163
2023-05,21,"Mining, Quarrying, and Oil and Gas Extraction",627382,627988
2023-05,22,Utilities,368272,368135
2023-05,23,Construction,8030181,8025577
2023-05,31-33,Manufacturing,12839705,12856883
2023-05,42,Wholesale Trade,6117293,6118815
2023-05,44-45,Retail Trade,15509173,15514487
2023-05,48-49,Transportation and Warehousing,6617675,6622854
2023-05,51,Information,3004828,3013899
2023-05,52-53,Financial Activities,9105319,9118668
2023-05,54-56,Professional and Business Services,22309527,22328268
2023-05,61-62,Education and Health Services,25619100,25664967
2023-05,71-72,Leisure and Hospitality,16729051,16658960
2023-05,81,Other Services (except Public Administration),5848501,5845536
2023-05,92,Public Administration,22980585,22970741
2023-05,99,Unclassified,371486,370893
2023-06,11,"Agriculture, Forestry, Fishing and Hunting",214940,213368
2023-06,21,"Mining, Quarrying, and Oil and Gas Extraction",628632,627773
2023-06,22,Utilities,369902,369508
2023-06,23,Construction,8072926,8036585
2023-06,31-33,Manufacturing,12873656,12850998
2023-06,42,Wholesale Trade,6134074,6121754
2023-06,44-45,Retail Trade,15571146,15536662
2023-06,48-49,Transportation and Warehousing,6630455,6621677
2023-06,51,Information,2998282,3004193
2023-06,52-53,Financial Activities,9139505,9126503
2023-06,54-56,Professional and Business Services,22367820,22339222
2023-06,61-62,Education and Health Services,25457906,25733307
2023-06,71-72,Leisure and Hospitality,16851123,16727712
2023-06,81,Other Services (except Public Administration),5862910,5857615
2023-06,92,Public Administration,22984736,23001388
2023-06,99,Unclassified,372586,370797
2023-07,11,"Agriculture, Forestry, Fishing and Hunting",214757,213113
2023-07,21,"Mining, Quarrying, and Oil and Gas Extraction",629093,627809
2023-07,22,Utilities,370662,370285
2023-07,23,Construction,8089382,8050930
2023-07,31-33,Manufacturing,12880328,12847605
2023-07,42,Wholesale Trade,6138378,6124442
2023-07,44-45,Retail Trade,15581661,15545935
2023-07,48-49,Transportation and Warehousing,6631322,6622132
2023-07,51,Information,2989956,2993682
2023-07,52-53,Financial Activities,9153744,9126993
2023-07,54-56,Professional and Business Services,22379789,22361746
2023-07,61-62,Education and Health Services,25460040,25802420
2023-07,71-72,Leisure and Hospitality,16874815,16760302
2023-07,81,Other Services (except Public Administration),5866031,5866553
2023-07,92,Public Administration,22961182,23029977
2023-07,99,Unclassified,372620,371045
2023-08,11,"Agriculture, Forestry, Fishing and Hunting",214670,213166
2023-08,21,"Mining, Quarrying, and Oil and Gas Extraction",629625,628112
2023-08,22,Utilities,371227,370692
2023-08,23,Construction,8106536,8066572
2023-08,31-33,Manufacturing,12889470,12848436
2023-08,42,Wholesale Trade,6148179,6129599
2023-08,44-45,Retail Trade,15597802,15547635
2023-08,48-49,Transportation and Warehousing,6630421,6616839
2023-08,51,Information,2990032,2984706
2023-08,52-53,Financial Activities,9163667,9131547
2023-08,54-56,Professional and Business Services,22411127,22386001
2023-08,61-62,Education and Health Services,25927365,25869149
2023-08,71-72,Leisure and Hospitality,16906080,16773429
2023-08,81,Other Services (except Public Administration),5898709,5875355
2023-08,92,Public Administration,23133730,23067931
2023-08,99,Unclassified,373427,371281
2023-09,11,"Agriculture, Forestry, Fishing and Hunting",212883,212927
2023-09,21,"Mining, Quarrying, and Oil and Gas Extraction",628642,628513
2023-09,22,Utilities,370736,370655
2023-09,23,Construction,8084961,8082891
2023-09,31-33,Manufacturing,12850962,12845114
2023-09,42,Wholesale Trade,6134265,6133274
2023-09,44-45,Retail Trade,15521120,15540707
2023-09,48-49,Transportation and Warehousing,6618956,6623985
2023-09,51,Information,2982495,2977759
2023-09,52-53,Financial Activities,9141540,9134047
2023-09,54-56,Professional and Business Services,22414005,22404484
2023-09,61-62,Education and Health Services,26042381,25943845
2023-09,71-72,Leisure and Hospitality,16722669,16770618
2023-09,81,Other Services (except Public Administration),5886471,5887389
2023-09,92,Public Administration,23123705,23103503
2023-09,99,Unclassified,370789,371344
2023-10,11,"Agriculture, Forestry, Fishing and Hunting",212820,213004
2023-10,21,"Mining, Quarrying, and Oil and Gas Extraction",628631,628567
2023-10,22,Utilities,371024,370603
2023-10,23,Construction,8103110,8106902
2023-10,31-33,Manufacturing,12854856,12845660
2023-10,42,Wholesale Trade,6143216,6140094
2023-10,44-45,Retail Trade,15558101,15547909
2023-10,48-49,Transportation and Warehousing,6632920,6630823
2023-10,51,Information,2978499,2968816
2023-10,52-53,Financial Activities,9140690,9133847
2023-10,54-56,Professional and Business Services,22462974,22422126
2023-10,61-62,Education and Health Services,26132929,26005497
2023-10,71-72,Leisure and Hospitality,16739337,16801137
2023-10,81,Other Services (except Public Administration),5898479,5897875
2023-10,92,Public Administration,23162877,23139925
2023-10,99,Unclassified,370568,371361
2023-11,11,"Agriculture, Forestry, Fishing and Hunting",212347,212894
2023-11,21,"Mining, Quarrying, and Oil and Gas Extraction",628102,628494
2023-11,22,Utilities,371019,371061
2023-11,23,Construction,8103945,8118336
2023-11,31-33,Manufacturing,12850826,12844095
2023-11,42,Wholesale Trade,6144887,6142230
2023-11,44-45,Retail Trade,15588576,15549373
2023-11,48-49,Transportation and Warehousing,6641287,6631969
2023-11,51,Information,2971873,2962012
2023-11,52-53,Financial Activities,9133331,9139477
2023-11,54-56,Professional and Business Services,22466069,22445430
2023-11,61-62,Education and Health Services,26183542,26062862
2023-11,71-72,Leisure and Hospitality,16751805,16811026
