month,naics2d_code,naics2d_name_x,employment_nsa_revelio,employment_sa_revelio,employment_nsa_bls,employment_sa_bls,naics2d_name_y,employment_nsa_adp,employment_sa_adp
2021-07,71-72,Leisure and Hospitality,15503778.0,15351031.0,15266000.0,,Leisure and hospitality,15349000.0,14624000.0
2021-07,81,Other Services (except Public Administration),5535660.0,5530051.0,5571000.0,,Other services,4239000.0,4181000.0
2021-07,92,Public Administration,22208479.0,22304830.0,20948000.0,,,,
2021-07,99,Unclassified,524886.0,522267.0,,,,,
2021-08,11,"Agriculture, Forestry, Fishing and Hunting",299833.0,296844.0,,,,,
2021-08,21,"Mining, Quarrying, and Oil and Gas Extraction",611401.0,609201.0,573000.0,,Natural resources and mining,1734000.0,1680000.0
2021-08,22,Utilities,464651.0,463442.0,546300.0,544800.0,,,
2021-08,23,Construction,7717489.0,7675474.0,7645000.0,,Construction,7445000.0,7343000.0
2021-08,31-33,Manufacturing,12513028.0,12459917.0,12420000.0,,Manufacturing,12411000.0,12369000.0
2021-08,42,Wholesale Trade,5926059.0,5902320.0,5756600.0,,,,
2021-08,44-45,Retail Trade,15151928.0,15088079.0,15206300.0,,,,
2021-08,48-49,Transportation and Warehousing,6683653.0,6671317.0,6082100.0,6189000.0,,,
2021-08,51,Information,2973750.0,2964343.0,2917000.0,,Information,2869000.0,2852000.0
2021-08,52-53,Financial Activities,8920389.0,8881333.0,8878000.0,,Financial activities,8505000.0,8361000.0
2021-08,54-56,Professional and Business Services,21252405.0,21215896.0,21633000.0,,Professional and business services,21636000.0,21452000.0
2021-08,61-62,Education and Health Services,23967287.0,23891989.0,23439000.0,,Education and health services,22818000.0,22860000.0
2021-08,71-72,Leisure and Hospitality,15602651.0,15449532.0,15239000.0,,Leisure and hospitality,16087000.0,15363000.0
2021-08,81,Other Services (except Public Administration),5576935.0,5547194.0,5572000.0,,Other services,4275000.0,4219000.0
2021-08,92,Public Administration,22424194.0,22340801.0,21252000.0,,,,
2021-08,99,Unclassified,526823.0,522946.0,,,,,
2021-09,11,"Agriculture, Forestry, Fishing and Hunting",296994.0,296980.0,,,,,
2021-09,21,"Mining, Quarrying, and Oil and Gas Extraction",610493.0,609860.0,570000.0,,Natural resources and mining,1738000.0,1708000.0
2021-09,22,Utilities,464699.0,464197.0,544200.0,545900.0,,,
2021-09,23,Construction,7698972.0,7695610.0,7632000.0,,Construction,7460000.0,7378000.0
